id,title,parent_id,company_id
4eae2daf-0005-4000-8000-000000000005,Старший финтех разработчик,4eae2daf-0004-4000-8000-000000000004,4eae2daf-8a11-4018-8c8a-5c5d813f596c
4eae2daf-0006-4000-8000-000000000006,Финтех разработчик,4eae2daf-0005-4000-8000-000000000005,4eae2daf-8a11-4018-8c8a-5c5d813f596c
4eae2daf-0007-4000-8000-000000000007,Аналитик данных,4eae2daf-0004-4000-8000-000000000004,4eae2daf-8a11-4018-8c8a-5c5d813f596c
4eae2daf-0008-4000-8000-000000000008,Специалист по безопасности,4eae2daf-0002-4000-8000-000000000002,4eae2daf-8a11-4018-8c8a-5c5d813f596c
4eae2daf-0009-4000-8000-000000000009,Менеджер по продукту,4eae2daf-0001-4000-8000-000000000001,4eae2daf-8a11-4018-8c8a-5c5d813f596c
4eae2daf-000a-4000-8000-00000000000a,HR менеджер,4eae2daf-0001-4000-8000-000000000001,4eae2daf-8a11-4018-8c8a-5c5d813f596c
42790098-0001-4000-8000-000000000001,Генеральный директор,null,42790098-a150-49ff-8e3f-af0598363e7f
42790098-0002-4000-8000-000000000002,Технический директор,42790098-0001-4000-8000-000000000001,42790098-a150-49ff-8e3f-af0598363e7f
42790098-0003-4000-8000-000000000003,Руководитель отдела разработки,42790098-0002-4000-8000-000000000002,42790098-a150-49ff-8e3f-af0598363e7f
42790098-0004-4000-8000-000000000004,Ведущий веб-разработчик,42790098-0003-4000-8000-000000000003,42790098-a150-49ff-8e3f-af0598363e7f
42790098-0005-4000-8000-000000000005,Старший веб-разработчик,42790098-0004-4000-8000-000000000004,42790098-a150-49ff-8e3f-af0598363e7f
42790098-0006-4000-8000-000000000006,Веб-разработчик,42790098-0005-4000-8000-000000000005,42790098-a150-49ff-8e3f-af0598363e7f
42790098-0007-4000-8000-000000000007,UI/UX дизайнер,42790098-0003-4000-8000-000000000003,42790098-a150-49ff-8e3f-af0598363e7f
42790098-0008-4000-8000-000000000008,DevOps инженер,42790098-0002-4000-8000-000000000002,42790098-a150-49ff-8e3f-af0598363e7f
42790098-0009-4000-8000-000000000009,QA инженер,42790098-0003-4000-8000-000000000003,42790098-a150-49ff-8e3f-af0598363e7f
42790098-000a-4000-8000-00000000000a,HR менеджер,42790098-0001-4000-8000-000000000001,42790098-a150-49ff-8e3f-af0598363e7f
0ae9589e-0001-4000-8000-000000000001,Генеральный директор,null,0ae9589e-b2e8-4d26-b1b6-9decdd7ab5af
0ae9589e-0002-4000-8000-000000000002,Технический директор,0ae9589e-0001-4000-8000-000000000001,0ae9589e-b2e8-4d26-b1b6-9decdd7ab5af
0ae9589e-0003-4000-8000-000000000003,Руководитель отдела безопасности,0ae9589e-0002-4000-8000-000000000002,0ae9589e-b2e8-4d26-b1b6-9decdd7ab5af
0ae9589e-0004-4000-8000-000000000004,Ведущий специалист по безопасности,0ae9589e-0003-4000-8000-000000000003,0ae9589e-b2e8-4d26-b1b6-9decdd7ab5af
0ae9589e-0005-4000-8000-000000000005,Старший специалист по безопасности,0ae9589e-0004-4000-8000-000000000004,0ae9589e-b2e8-4d26-b1b6-9decdd7ab5af
0ae9589e-0006-4000-8000-000000000006,Специалист по безопасности,0ae9589e-0005-4000-8000-000000000005,0ae9589e-b2e8-4d26-b1b6-9decdd7ab5af
0ae9589e-0007-4000-8000-000000000007,Аналитик безопасности,0ae9589e-0003-4000-8000-000000000003,0ae9589e-b2e8-4d26-b1b6-9decdd7ab5af
0ae9589e-0008-4000-8000-000000000008,Инженер по безопасности,0ae9589e-0003-4000-8000-000000000003,0ae9589e-b2e8-4d26-b1b6-9decdd7ab5af
0ae9589e-0009-4000-8000-000000000009,QA инженер,0ae9589e-0003-4000-8000-000000000003,0ae9589e-b2e8-4d26-b1b6-9decdd7ab5af
0ae9589e-000a-4000-8000-00000000000a,HR менеджер,0ae9589e-0001-4000-8000-000000000001,0ae9589e-b2e8-4d26-b1b6-9decdd7ab5af
d94fe5a8-0001-4000-8000-000000000001,Генеральный директор,null,d94fe5a8-b4bb-4c88-8934-afff75c83006
d94fe5a8-0002-4000-8000-000000000002,Технический директор,d94fe5a8-0001-4000-8000-000000000001,d94fe5a8-b4bb-4c88-8934-afff75c83006
d94fe5a8-0003-4000-8000-000000000003,Руководитель отдела аналитики,d94fe5a8-0002-4000-8000-000000000002,d94fe5a8-b4bb-4c88-8934-afff75c83006
d94fe5a8-0004-4000-8000-000000000004,Ведущий аналитик данных,d94fe5a8-0003-4000-8000-000000000003,d94fe5a8-b4bb-4c88-8934-afff75c83006
d94fe5a8-0005-4000-8000-000000000005,Старший аналитик данных,d94fe5a8-0004-4000-8000-000000000004,d94fe5a8-b4bb-4c88-8934-afff75c83006
d94fe5a8-0006-4000-8000-000000000006,Аналитик данных,d94fe5a8-0005-4000-8000-000000000005,d94fe5a8-b4bb-4c88-8934-afff75c83006
d94fe5a8-0007-4000-8000-000000000007,Data Engineer,d94fe5a8-0003-4000-8000-000000000003,d94fe5a8-b4bb-4c88-8934-afff75c83006
d94fe5a8-0008-4000-8000-000000000008,ML инженер,d94fe5a8-0003-4000-8000-000000000003,d94fe5a8-b4bb-4c88-8934-afff75c83006
d94fe5a8-0009-4000-8000-000000000009,QA инженер,d94fe5a8-0003-4000-8000-000000000003,d94fe5a8-b4bb-4c88-8934-afff75c83006
d94fe5a8-000a-4000-8000-00000000000a,HR менеджер,d94fe5a8-0001-4000-8000-000000000001,d94fe5a8-b4bb-4c88-8934-afff75c83006
